domain,Workpackage,treatment,time,Final_Taxonomy,tpm
Eukaryotes,WP2,R,72h,Eukaryota,28952.665652321964
Eukaryotes,WP2,R,72h,Glaucophyta,18590.200486486614
Eukaryotes,WP2,R,72h,Gonyaulacales,45647.88973288303
Eukaryotes,WP2,R,72h,Gymnodiniales,50646.48310586487
Eukaryotes,WP2,R,72h,Hacrobia,120805.2910748667
Eukaryotes,WP2,R,72h,Micromonas,10658.626164091102
Eukaryotes,WP2,R,72h,Ochrophyta,96820.83484734455
Eukaryotes,WP2,R,72h,Opisthokonta,82833.47944966482
Eukaryotes,WP2,R,72h,Ostreococcus,3124.914672291504
Eukaryotes,WP2,R,72h,Peridiniales,56021.693479942856
Eukaryotes,WP2,R,72h,Pseudo-nitzschia,9373.667676162713
Eukaryotes,WP2,R,72h,Rhizaria,73142.841965582
Eukaryotes,WP2,R,72h,Rhodophyta,11655.08589398653
Eukaryotes,WP2,R,72h,Sagenista,26784.238776803497
Eukaryotes,WP2,R,72h,Scrippsiella,8439.81414409193
Eukaryotes,WP2,R,72h,Skeletonema,6758.3662211449055
Eukaryotes,WP2,R,72h,Spirotrichea,96123.64130255512
Eukaryotes,WP2,R,72h,Stramenopiles,74054.62854705626
Eukaryotes,WP2,R,72h,Suessiales,114730.52172660278
Eukaryotes,WP2,R,72h,Symbiodinium,34022.87446586766
Eukaryotes,WP2,R,72h,Syndiniales,1731.8104189124288
Eukaryotes,WP2,R,72h,Thalassiosira,18718.779196148564
Eukaryotes,WP2,R,72h,Tintinnida,199910.04098571598
Eukaryotes,WP2,R+P,0h,Alexandrium,14163.455796125432
Eukaryotes,WP2,R+P,0h,Amoebozoa,7683.200154939263
Eukaryotes,WP2,R+P,0h,Bacillariophyta,826392.6046487708
Eukaryotes,WP2,R+P,0h,Chaetoceros,475150.5633092028
Eukaryotes,WP2,R+P,0h,Chlorophyta,31331.708991468746
Eukaryotes,WP2,R+P,0h,Choreotrichida,24464.87034207465
Eukaryotes,WP2,R+P,0h,Ciliophora,15673.124554845886
Eukaryotes,WP2,R+P,0h,Dinoflagellata,5952.448391565623
Eukaryotes,WP2,R+P,0h,Dinophyceae,29709.33289729371
Eukaryotes,WP2,R+P,0h,Eukaryota,10576.807971954313
Eukaryotes,WP2,R+P,0h,Glaucophyta,2888.5004209871977
Eukaryotes,WP2,R+P,0h,Gonyaulacales,20801.27254515294
Eukaryotes,WP2,R+P,0h,Gymnodiniales,14422.940993102642
Eukaryotes,WP2,R+P,0h,Hacrobia,42336.31087798302
Eukaryotes,WP2,R+P,0h,Micromonas,9704.686616948227
Eukaryotes,WP2,R+P,0h,Ochrophyta,127443.16557705947
Eukaryotes,WP2,R+P,0h,Opisthokonta,5641.12944295155
Eukaryotes,WP2,R+P,0h,Ostreococcus,12525.906295924891
Eukaryotes,WP2,R+P,0h,Peridiniales,31206.00008684418
Eukaryotes,WP2,R+P,0h,Pseudo-nitzschia,18459.756488653573
Eukaryotes,WP2,R+P,0h,Rhizaria,22420.559555866555
Eukaryotes,WP2,R+P,0h,Rhodophyta,2309.5441082612306
Eukaryotes,WP2,R+P,0h,Sagenista,17802.587437266637
Eukaryotes,WP2,R+P,0h,Scrippsiella,4860.347775143992
Eukaryotes,WP2,R+P,0h,Skeletonema,20554.259100203995
Eukaryotes,WP2,R+P,0h,Spirotrichea,18444.463205525833
Eukaryotes,WP2,R+P,0h,Stramenopiles,24218.599562895368
Eukaryotes,WP2,R+P,0h,Suessiales,20035.237766147457
Eukaryotes,WP2,R+P,0h,Symbiodinium,7825.816478229695
Eukaryotes,WP2,R+P,0h,Syndiniales,772.2942606446886
Eukaryotes,WP2,R+P,0h,Thalassiosira,125685.6687261356
Eukaryotes,WP2,R+P,0h,Tintinnida,8542.835619829935
Eukaryotes,WP2,R+P,72h,Alexandrium,17956.403797144143
Eukaryotes,WP2,R+P,72h,Amoebozoa,71283.63501088409
Eukaryotes,WP2,R+P,72h,Bacillariophyta,567737.7767104106
Eukaryotes,WP2,R+P,72h,Chaetoceros,358097.5989992864
Eukaryotes,WP2,R+P,72h,Chlorophyta,105191.14511847777
Eukaryotes,WP2,R+P,72h,Choreotrichida,103897.57547943885
Eukaryotes,WP2,R+P,72h,Ciliophora,33891.70408756888
Eukaryotes,WP2,R+P,72h,Dinoflagellata,30718.40709583956
Eukaryotes,WP2,R+P,72h,Dinophyceae,166697.5336148214
Eukaryotes,WP2,R+P,72h,Eukaryota,42466.8153782662
Eukaryotes,WP2,R+P,72h,Glaucophyta,23942.719508522358
Eukaryotes,WP2,R+P,72h,Gonyaulacales,60750.52854819727
Eukaryotes,WP2,R+P,72h,Gymnodiniales,57190.879252178274
Eukaryotes,WP2,R+P,72h,Hacrobia,180775.6101402793
Eukaryotes,WP2,R+P,72h,Micromonas,9187.389195622105
Eukaryotes,WP2,R+P,72h,Ochrophyta,106408.00694403783
Eukaryotes,WP2,R+P,72h,Opisthokonta,109197.61935539515
Eukaryotes,WP2,R+P,72h,Ostreococcus,9296.381986666096
Eukaryotes,WP2,R+P,72h,Peridiniales,80308.27202769468
Eukaryotes,WP2,R+P,72h,Pseudo-nitzschia,9233.468512564486
Eukaryotes,WP2,R+P,72h,Rhizaria,114163.97294196606
Eukaryotes,WP2,R+P,72h,Rhodophyta,25139.679547726824
Eukaryotes,WP2,R+P,72h,Sagenista,48913.9327342332
Eukaryotes,WP2,R+P,72h,Scrippsiella,13531.238525219555
Eukaryotes,WP2,R+P,72h,Skeletonema,8823.855199458525
Eukaryotes,WP2,R+P,72h,Spirotrichea,82856.66712774488
Eukaryotes,WP2,R+P,72h,Stramenopiles,140445.69842934786
Eukaryotes,WP2,R+P,72h,Suessiales,158577.85519622962
Eukaryotes,WP2,R+P,72h,Symbiodinium,58890.08631051633
Eukaryotes,WP2,R+P,72h,Syndiniales,33316.096773179466
Eukaryotes,WP2,R+P,72h,Thalassiosira,23688.546908731347
Eukaryotes,WP2,R+P,72h,Tintinnida,147422.89954235093
